GO.ID	pValue
GO:0008298	0.00033
GO:0097237	0.00042
GO:1990748	0.00072
GO:0003006	0.00085
GO:0098754	0.00107
GO:0009636	0.00113
GO:0060810	0.00143
GO:0007315	0.00156
GO:0022411	0.00188
GO:0007028	0.00204
GO:0006352	0.00243
GO:0030029	0.00264
GO:0001700	0.00299
GO:0006403	0.00314
GO:0035150	0.00316
GO:0002164	0.00364
GO:0051321	0.00372
GO:0006091	0.00387
GO:1903046	0.00441
GO:0002683	0.00506
GO:0000910	0.00668
GO:0035152	0.00723
GO:0098657	0.00872
GO:0070572	0.00876
GO:0007316	0.00878
GO:0006457	0.00914
GO:0044272	0.00957
GO:0006302	0.01121
GO:0019693	0.01131
GO:0045905	0.01156
GO:0006367	0.01157
GO:0038061	0.01169
GO:0007351	0.01203
GO:0097435	0.01251
GO:0045137	0.0127
GO:0006401	0.01322
GO:0070570	0.01363
GO:0060811	0.01368
GO:0007436	0.0138
GO:0090130	0.01384
GO:0009880	0.01394
GO:0006449	0.01489
GO:0035567	0.01509
GO:1902600	0.01523
GO:0007300	0.01528
GO:0035272	0.0153
GO:0045901	0.0155
GO:0048678	0.01559
GO:0006790	0.01561
GO:0006448	0.01601
GO:0019319	0.01703
GO:0010608	0.01715
GO:1902475	0.01838
GO:2001244	0.01906
GO:0044282	0.0193
GO:0009994	0.02063
GO:0009072	0.02136
GO:0006452	0.0214
GO:0008406	0.02194
GO:0035193	0.02283
GO:0034655	0.02371
GO:0045807	0.0248
GO:0141188	0.02553
GO:0006897	0.02565
GO:0000578	0.02642
GO:0070192	0.02684
GO:0051881	0.02692
GO:0000912	0.02737
GO:0048732	0.02864
GO:0000278	0.029
GO:2000379	0.02955
GO:0080135	0.02983
GO:0009259	0.03005
GO:0022412	0.03031
GO:0006011	0.03061
GO:0120193	0.03073
GO:0006886	0.0312
GO:0000097	0.03173
GO:0035316	0.03179
GO:0000281	0.03255
GO:0006094	0.03303
GO:0034504	0.03382
GO:0002576	0.03393
GO:0048679	0.03397
GO:0032103	0.03398
GO:1990840	0.03438
GO:0007488	0.03493
GO:0007422	0.03507
GO:0002165	0.03546
GO:0007309	0.03562
GO:0009968	0.03593
GO:0016054	0.03611
GO:0051130	0.03616
GO:0019364	0.03618
GO:0007143	0.03627
GO:0043279	0.03628
GO:0007308	0.0379
GO:0046716	0.03811
GO:0010628	0.03837
GO:0009791	0.03904
GO:0010976	0.03931
GO:0009798	0.04006
GO:0030036	0.04045
GO:0051343	0.04121
GO:0030534	0.04246
GO:0030258	0.04268
GO:0034643	0.04273
GO:0003012	0.04317
GO:0046660	0.0434
GO:0010248	0.04353
GO:1903036	0.04368
GO:2000142	0.0443
GO:0044837	0.04535
GO:0007009	0.04546
GO:0006901	0.04547
GO:1904375	0.04583
GO:0034329	0.04601
GO:0002682	0.04634
GO:0048608	0.04636
GO:0046794	0.04655
GO:0031145	0.04657
GO:0042743	0.04731
GO:0031103	0.04846
GO:0007314	0.0488
GO:1901293	0.04895
GO:0046395	0.049
