GO.ID	pValue
GO:0140253	0.0016
GO:0006949	0.002
GO:0045229	0.0102
GO:0008643	0.0103
GO:0030588	0.0107
GO:0022412	0.0112
GO:0006997	0.0126
GO:0032989	0.0128
GO:0060439	0.0129
GO:1904837	0.0142
GO:0106030	0.0168
GO:0007418	0.017
GO:0030713	0.0222
GO:0061614	0.0269
GO:0010586	0.027
GO:0034508	0.027
GO:0007413	0.0281
GO:0099172	0.0282
GO:0033504	0.0282
GO:0006575	0.0311
GO:0010927	0.0339
GO:0060142	0.0352
GO:0061061	0.0382
GO:0022416	0.0395
GO:0048489	0.0397
GO:0072002	0.0407
GO:1904398	0.0411
GO:0007034	0.0436
GO:0007443	0.0437
GO:2000026	0.0453
GO:0060438	0.0459
GO:0021781	0.0491
