GO.ID	pValue
GO:0044837	3.8e-07
GO:0000912	4.4e-07
GO:0032506	1.5e-06
GO:0016072	7.3e-06
GO:1903046	1.5e-05
GO:0000910	2.7e-05
GO:0051321	3.7e-05
GO:0030865	5.4e-05
GO:0007488	0.00012
GO:0061437	0.00012
GO:0090131	0.00016
GO:0006457	0.00016
GO:0007300	0.00018
GO:0070570	2e-04
GO:0072012	0.00024
GO:0035193	0.00028
GO:0035150	0.00031
GO:0061440	0.00034
GO:1902600	0.00037
GO:0030866	4e-04
GO:0010976	0.00047
GO:0003012	0.00055
GO:1904238	0.00072
GO:0002683	0.00085
GO:0030036	0.00091
GO:0007436	0.00093
GO:1901293	0.00093
GO:0045039	0.00097
GO:0072143	0.00105
GO:0018208	0.00108
GO:0030717	0.00142
GO:0060810	0.00143
GO:0048679	0.00147
GO:0006413	0.00155
GO:0007391	0.00188
GO:0048678	0.00204
GO:0001700	0.00216
GO:0002164	0.00224
GO:0031103	0.00253
GO:0046716	0.00285
GO:0031102	0.00302
GO:0061988	0.00309
GO:0000281	0.00312
GO:0048680	0.00336
GO:0006839	0.00353
GO:0019693	0.00372
GO:0030240	0.00393
GO:0007626	0.00413
GO:0031099	0.0042
GO:0061640	0.00429
GO:0006364	0.00462
GO:0006399	0.00464
GO:0052547	0.0052
GO:0070192	0.00562
GO:0050777	0.00581
GO:0009451	0.00619
GO:0006285	0.0064
GO:1901875	0.00641
GO:0072132	0.00653
GO:0031032	0.00672
GO:0014866	0.00674
GO:0072007	0.00728
GO:0007351	0.00729
GO:0009798	0.0075
GO:0060438	0.00835
GO:2001244	0.00864
GO:0007316	0.00878
GO:0032835	0.00901
GO:0072008	0.00935
GO:0071312	0.00942
GO:0048729	0.00978
GO:0008298	0.00985
GO:0031669	0.01013
GO:0072144	0.01031
GO:0007219	0.01083
GO:1903036	0.01087
GO:0045168	0.01121
GO:0090151	0.01139
GO:1902298	0.01199
GO:0072109	0.01226
GO:0007519	0.01233
GO:1901990	0.01247
GO:1903322	0.01274
GO:0008217	0.01325
GO:0019953	0.01338
GO:1990505	0.01407
GO:0043279	0.01416
GO:0008593	0.01463
GO:0030029	0.015
GO:0051276	0.01511
GO:0035272	0.01551
GO:0022411	0.01565
GO:1902106	0.01615
GO:0097746	0.01672
GO:0009062	0.01672
GO:0051928	0.01693
GO:0009967	0.01752
GO:0030718	0.01893
GO:0042551	0.01908
GO:0040014	0.01908
GO:0051301	0.01934
GO:0051489	0.01988
GO:0046847	0.01998
GO:0031398	0.02071
GO:0010608	0.02097
GO:1903706	0.02097
GO:0071214	0.02118
GO:0051235	0.02131
GO:0044786	0.02142
GO:0010927	0.02209
GO:0014904	0.02225
GO:1903707	0.02238
GO:0051491	0.02255
GO:0030258	0.02264
GO:0002064	0.02265
GO:0003013	0.02275
GO:0007435	0.02352
GO:0006221	0.02366
GO:0030239	0.02464
GO:1901185	0.02526
GO:0072528	0.02749
GO:0031175	0.0275
GO:0072527	0.02783
GO:0007315	0.02907
GO:0001956	0.02941
GO:0061448	0.0296
GO:0007028	0.03004
GO:0090130	0.03055
GO:0051881	0.03309
GO:0002168	0.03435
GO:0032989	0.03579
GO:0045905	0.03592
GO:0009880	0.03627
GO:0016074	0.03696
GO:0045807	0.03754
GO:0051924	0.03788
GO:0032101	0.03805
GO:0006119	0.03867
GO:0046390	0.03912
GO:0006220	0.03952
GO:0045005	0.04013
GO:0099173	0.04029
GO:0017004	0.04058
GO:0038061	0.04136
GO:0034643	0.04273
GO:0032103	0.04303
GO:0016054	0.04345
GO:0046928	0.04422
GO:0080135	0.04474
GO:1901661	0.04529
GO:0061005	0.04648
GO:2001242	0.04656
GO:1903169	0.04687
GO:0007308	0.04725
GO:0140694	0.04853
GO:0043067	0.04896
