GO.ID	pValue
GO:0003012	2.9e-05
GO:0032781	0.00024
GO:0061437	5e-04
GO:0072143	0.00053
GO:1904238	0.00062
GO:1902743	0.00067
GO:0072012	0.00067
GO:0035150	0.0012
GO:0090131	0.00128
GO:0090130	0.00136
GO:0061440	0.00153
GO:0030032	0.0018
GO:0002064	0.00193
GO:0032989	0.00251
GO:0043462	0.00263
GO:1901293	0.00269
GO:0008217	0.00293
GO:0043270	0.00294
GO:0022412	0.00313
GO:0030240	0.00314
GO:0090066	0.0032
GO:0072132	0.00341
GO:0010927	0.00349
GO:0097581	0.00385
GO:0006936	0.0039
GO:0032835	0.00407
GO:0035167	0.00426
GO:0006099	0.0043
GO:0060810	0.0043
GO:0072109	0.00468
GO:0035166	0.00468
GO:0006839	0.00531
GO:0140053	0.0056
GO:0006577	0.00574
GO:0002576	0.00603
GO:0009067	0.00652
GO:0007626	0.00652
GO:0022898	0.00663
GO:0072007	0.00728
GO:0003381	0.00754
GO:0044057	0.00779
GO:0006091	0.0088
GO:0019749	0.00889
GO:0034767	0.00898
GO:0048609	0.00906
GO:0009952	0.00911
GO:0072008	0.00935
GO:0007281	0.00962
GO:0048542	0.01034
GO:0002165	0.01071
GO:0001731	0.01073
GO:0032970	0.01169
GO:0062207	0.01189
GO:0030239	0.01197
GO:0006754	0.01204
GO:0007519	0.01233
GO:0010591	0.01329
GO:1904064	0.01401
GO:0009264	0.01414
GO:0044818	0.01475
GO:0008298	0.01643
GO:0009593	0.01669
GO:0072144	0.01703
GO:0045168	0.01714
GO:1990542	0.01721
GO:0000075	0.01783
GO:0007629	0.01784
GO:0007274	0.01806
GO:0001700	0.01863
GO:0010038	0.01887
GO:0072583	0.01956
GO:0072522	0.0203
GO:0046843	0.02059
GO:0006399	0.02089
GO:1904427	0.02099
GO:0051050	0.0211
GO:0000097	0.02152
GO:0007351	0.02155
GO:0051282	0.02167
GO:0120032	0.0218
GO:0009880	0.02204
GO:0035152	0.02232
GO:0072527	0.02233
GO:0003006	0.02249
GO:0009145	0.0226
GO:0097435	0.02297
GO:0046578	0.02374
GO:0046716	0.02471
GO:0045229	0.02516
GO:1902750	0.02527
GO:0032411	0.0255
GO:0031032	0.02579
GO:0044773	0.02654
GO:0170043	0.02688
GO:0009826	0.02724
GO:0007517	0.02737
GO:0035316	0.02758
GO:0072529	0.02769
GO:0032543	0.02794
GO:0032233	0.02836
GO:0007309	0.0284
GO:0007566	0.02856
GO:0061448	0.02884
GO:0072006	0.03038
GO:0000096	0.03094
GO:0009206	0.03101
GO:0070585	0.03143
GO:0009798	0.03171
GO:0035190	0.03213
GO:0044283	0.03224
GO:0030322	0.03285
GO:0010959	0.03398
GO:0007028	0.03441
GO:0006817	0.03455
GO:0071806	0.03491
GO:0090254	0.03553
GO:1904062	0.0361
GO:2001244	0.03618
GO:1902600	0.03687
GO:0030150	0.03855
GO:0006164	0.03876
GO:0007316	0.03935
GO:0031529	0.04018
GO:1904377	0.04054
GO:0061005	0.04088
GO:0051928	0.04103
GO:0051343	0.04121
GO:0010972	0.04197
GO:0044272	0.04322
GO:0035277	0.04324
GO:0006413	0.04593
GO:0097305	0.04617
GO:0051924	0.0462
GO:0007635	0.04622
GO:0090151	0.04638
GO:0007315	0.04691
GO:0044774	0.04722
GO:0007308	0.04725
GO:0035315	0.04881
GO:0010883	0.04918
