GO.ID	pValue
GO:0008298	0.00044
GO:0007028	0.00257
GO:0060810	0.00407
GO:0009448	0.00436
GO:0007315	0.00533
GO:0008652	0.00591
GO:0043094	0.00642
GO:0007309	0.00672
GO:0007308	0.00801
GO:0072132	0.0086
GO:0007021	0.00912
GO:0009880	0.00924
GO:0009994	0.01043
GO:0008655	0.01205
GO:0007351	0.01268
GO:0006099	0.01282
GO:0006403	0.01426
GO:0044283	0.01487
GO:0060485	0.01689
GO:0090130	0.01787
GO:0090131	0.01843
GO:0007316	0.01993
GO:0030308	0.02007
GO:0046835	0.02073
GO:0009123	0.0218
GO:0043545	0.02445
GO:0006457	0.02525
GO:0071456	0.02595
GO:0045926	0.02662
GO:0042451	0.03021
GO:0006419	0.03145
GO:0000272	0.03208
GO:0051189	0.03301
GO:0071695	0.03359
GO:0010248	0.03453
GO:0009124	0.03482
GO:0048469	0.03618
GO:0006091	0.03623
GO:0008217	0.03863
GO:0044272	0.03965
GO:0021700	0.04024
GO:1904238	0.04331
GO:0030951	0.04509
GO:0046033	0.04573
GO:0000096	0.04602
GO:0030537	0.0467
GO:0007294	0.04678
