GO.ID	pValue
GO:0000912	0.00055
GO:0044837	0.00247
GO:0045185	0.00427
GO:0060438	0.00427
GO:0032506	0.00544
GO:0016072	0.00763
GO:0046349	0.01066
GO:0006430	0.0127
GO:0030866	0.01333
GO:0051235	0.01438
GO:0140694	0.01494
GO:0043433	0.01704
GO:0071214	0.01779
GO:0030865	0.02117
GO:0097485	0.02316
GO:0045807	0.02423
GO:0045005	0.02447
GO:0043038	0.02509
GO:0033687	0.0251
GO:0048332	0.0257
GO:1901185	0.0278
GO:0104004	0.02838
GO:0031124	0.02949
GO:0006048	0.03024
GO:0070588	0.03123
GO:0030258	0.03231
GO:0040036	0.03267
GO:0051457	0.03403
GO:0009062	0.03507
GO:0070914	0.03533
GO:0006403	0.03899
GO:0051276	0.04034
GO:0035193	0.04062
GO:0043545	0.04111
GO:0072578	0.04132
GO:0016054	0.0422
GO:0002683	0.04252
GO:1901184	0.0438
GO:1901661	0.04529
GO:1901570	0.04559
GO:0007265	0.04695
GO:0015850	0.04799
GO:0000712	0.0488
GO:0098657	0.04887
GO:0009226	0.04934
