GO.ID	pValue
GO:0019627	0.00028
GO:0071941	0.00176
GO:0051276	0.00331
GO:0006220	0.00339
GO:0021761	0.00352
GO:0072527	0.00361
GO:0072528	0.00551
GO:0046112	0.0076
GO:0006525	0.00934
GO:0006221	0.01051
GO:0060759	0.01407
GO:0034643	0.01441
GO:0006289	0.01499
GO:0001959	0.01863
GO:0070542	0.01883
GO:0009112	0.01963
GO:0072520	0.02065
GO:0036297	0.02122
GO:1901798	0.02262
GO:0006399	0.02412
GO:0051654	0.02479
GO:0015949	0.02645
GO:0043604	0.02744
GO:0006526	0.0288
GO:0021854	0.03011
GO:0006281	0.03023
GO:0072331	0.03072
GO:1901186	0.03194
GO:1903046	0.03246
GO:0030900	0.03398
GO:0097009	0.03509
GO:0006368	0.03522
GO:1901184	0.0385
GO:0046660	0.04036
GO:0060612	0.04059
GO:1903707	0.0406
GO:0021766	0.04671
GO:0002764	0.04883
GO:0006354	0.04944
