GO.ID	pValue
GO:0035193	2.7e-05
GO:0007300	4.1e-05
GO:0007488	8.1e-05
GO:0000912	0.00017
GO:0008298	0.00017
GO:0071695	0.00018
GO:0048678	0.00021
GO:0060810	0.00025
GO:0010976	0.00033
GO:0035272	0.00041
GO:0021700	0.00041
GO:0070572	0.00041
GO:0048679	0.00044
GO:0070570	0.00048
GO:0007436	0.00084
GO:0048732	0.00087
GO:0044837	0.00101
GO:0042551	0.0011
GO:0001700	0.00131
GO:0007351	0.00138
GO:0061988	0.00143
GO:0031102	0.00144
GO:0007315	0.00172
GO:0051276	0.00175
GO:0048680	0.00193
GO:0046847	0.00202
GO:0032506	0.00211
GO:0022412	0.00234
GO:0002168	0.0024
GO:0007028	0.00245
GO:0048469	0.00251
GO:1903036	0.00251
GO:0007009	0.00254
GO:0031099	0.00265
GO:0007316	0.00267
GO:1903046	0.00316
GO:0031346	0.00349
GO:0031103	0.00353
GO:1903706	0.00353
GO:0015807	0.00445
GO:0030717	0.00459
GO:0051321	0.0046
GO:0098727	0.00522
GO:1901701	0.00546
GO:0099172	0.00549
GO:0007416	0.00571
GO:0019827	0.00633
GO:0030866	0.00714
GO:0007281	0.00714
GO:0022612	0.00726
GO:0051130	0.00766
GO:0007589	0.00784
GO:1903825	0.00828
GO:0022416	0.00844
GO:0030865	0.00903
GO:0120034	0.00912
GO:0000281	0.0106
GO:0006220	0.01206
GO:0050679	0.01219
GO:0044872	0.01315
GO:0030718	0.01324
GO:0042953	0.01332
GO:0009798	0.01357
GO:0009880	0.01408
GO:0060491	0.01458
GO:0007309	0.01467
GO:0009994	0.01486
GO:0009967	0.01493
GO:0007391	0.01687
GO:0007595	0.01712
GO:0003333	0.01772
GO:1902475	0.01838
GO:0003006	0.01968
GO:0051489	0.01988
GO:2000026	0.0199
GO:0080135	0.02001
GO:0051258	0.02084
GO:1902531	0.02085
GO:0002521	0.02144
GO:0002682	0.0223
GO:0051491	0.02255
GO:1901698	0.02276
GO:0080134	0.02333
GO:0120035	0.02354
GO:0044089	0.02372
GO:0031032	0.02376
GO:0045595	0.02392
GO:0051094	0.02403
GO:0045887	0.02461
GO:0071216	0.02508
GO:0046386	0.02521
GO:0072528	0.02568
GO:0019953	0.02676
GO:0006897	0.0274
GO:0002164	0.02747
GO:0006302	0.02765
GO:0007308	0.02802
GO:0007431	0.02993
GO:1902533	0.02996
GO:0045596	0.03015
GO:0097746	0.03045
GO:0097193	0.03081
GO:0090181	0.03125
GO:0035282	0.03214
GO:0009264	0.0339
GO:1902931	0.03405
GO:0010975	0.03464
GO:0031344	0.03484
GO:0019226	0.03496
GO:0015949	0.03513
GO:0006221	0.03527
GO:0051301	0.03571
GO:0070192	0.03631
GO:0043649	0.03797
GO:0072527	0.03954
GO:0030031	0.04004
GO:0032196	0.04029
GO:0019725	0.04033
GO:0030588	0.04038
GO:0006403	0.04096
GO:0060811	0.04161
GO:0051148	0.04291
GO:1901992	0.04314
GO:0008217	0.0442
GO:0030855	0.04546
GO:0002093	0.0458
GO:0045600	0.04615
GO:0070542	0.04655
GO:0050678	0.04714
GO:0016331	0.04802
GO:1904398	0.04843
GO:0051124	0.04887
GO:0010647	0.0491
GO:0023056	0.04937
